"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","08-JUL-26","07-JUL-26","18:56:00Z","OGDEN","UTAH","UNITED STATES","AIRCRAFT LEFT GEAR COLLAPSED ON LANDING AND DETACHED, OGDEN, UT.","ACCIDENT","SALT LAKE CITY FSDO","N647LA","","","AIR TRACTOR","AT502","No","SUBSTANTIAL","AERIAL APPLICATION","LANDING (LDG)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUL-26","07-JUL-26","22:30:00Z","MEKORYUK","ALASKA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, MEKORYUK, AK.","ACCIDENT","ANCHORAGE FSDO","N824JT","","","PIPER","PA18","No","SUBSTANTIAL","PUBLIC USE","EN ROUTE (ENR)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUL-26","07-JUL-26","12:06:00Z","DECATUR","ILLINOIS","UNITED STATES","AIRCRAFT STRUCK A BIRD ON LANDING AND POST FLIGHT INSPECTION REVEALED A DENT ON THE LEFT WING, DECATUR, IL.","INCIDENT","SPRINGFIELD FSDO","N3705G","","SOUTHERN ILLINOISE UNVERSITY","CESSNA","310","No","MINOR","FAR 141 PILOT SCHOOL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUL-26","07-JUL-26","19:00:00Z","TRACY","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN OFF-AIRPORT LANDING ON A ROAD, TRACY, CA.","INCIDENT","OAKLAND FSDO","N6704Q","","","GRUMMAN","G-164B","No","UNKNOWN","AERIAL APPLICATION","EN ROUTE (ENR)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUL-26","07-JUL-26","19:00:00Z","NOVATO","CALIFORNIA","UNITED STATES","AIRCRAFT LOST ENGINE SHORTLY AFTER DEPARTURE, RETURNED AND HIT AN EMBANKMENT ON SHORT FINAL, NOVATO, CA.","INCIDENT","OAKLAND FSDO","N45886","","","LUSCOMBE","8A","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUL-26","07-JUL-26","21:55:00Z","VAN NUYS","CALIFORNIA","UNITED STATES","AIRCRAFT WAS ON PATROL AND WAS STRUCK BY A DRONE DAMAGING THE WINDSHIELD, VAN NUYS, CA.","INCIDENT","VAN NUYS FSDO","N225LA","","","AIRBUS HELICOPTER","AS350","No","MINOR","PUBLIC USE","EN ROUTE (ENR)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-JUL-26","08-JUL-26","15:48:00Z","TALLAHASSEE","FLORIDA","UNITED STATES","AIRCRAFT CRASHED INTO TREES, TALLAHASSEE, FL.","ACCIDENT","TAMPA FSDO","N488AT","","","MOONEY","M20M","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JUL-26","09-JUL-26","11:47:00Z","HAGUE","NEW YORK","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS IN BLAIRS BAY AND CAME TO REST INVERTED, HAGUE, NY.","INCIDENT","ALBANY FSDO","N124M","","","KITFOX","SUPER SPORT","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JUL-26","09-JUL-26","16:30:00Z","BIG PINEY","WYOMING","UNITED STATES","AIRCRAFT GROUND LOOPED ON LANDING, BIG PINEY, WY.","ACCIDENT","DENVER FSDO","N3339D","","","CESSNA","180","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JUL-26","10-JUL-26","03:18:00Z","ELLSWORTH","KANSAS","UNITED STATES","AIRCRAFT RAN OUT OF FUEL AND STRUCK A POWER LINE WHILE ATTEMPTING TO LAND IN A FIELD, ELLSWORTH, KS.","ACCIDENT","WICHITA FSDO","N3773J","","","CESSNA","150","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
