"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","16-MAY-25","15-MAY-25","15:26:00Z","GREENVILLE","SOUTH CAROLINA","UNITED STATES","AIRCRAFT LANDED GEAR UP, GREENVILLE, SC.","INCIDENT","COLUMBIA FSDO","N668Q","","","BEECH","B95","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-MAY-25","15-MAY-25","20:00:00Z","TUCSON","ARIZONA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED ON LANDING, TUCSON, AZ.","INCIDENT","SCOTTSDALE FSDO","N3121V","","","PIPER","PA28","No","MINOR","FAR 141 PILOT SCHOOL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAY-25","15-MAY-25","17:25:00Z","MACON","GEORGIA","UNITED STATES","AIRCRAFT TAXIING FOR DEPARTURE AND STRUCK A GPU ON THE RIGHT WINGTIP, MACON, GA.","INCIDENT","ATLANTA FSDO","N875AS","VTE3105","CONTOUR AIRLINES","BOMBARDIER","CL-600-2B19","No","UNKNOWN","COMMERCIAL","TAXI (TXI)","121","NONE","No","2","0","0","0","0","1","0","0","0","0","26","0","0","0","0","0","0","0","0","0"
"No","14-MAY-25","13-MAY-25","19:00:00Z","TAMPA","FLORIDA","UNITED STATES","AIRCRAFT SPOILER DEPLOYED IN FLIGHT AND MADE AN EMERGENCY LANDING IN A FIELD, TAMPA, FL.","INCIDENT","TAMPA FSDO","N215EL","","","PIPISTREL","ALPHA TRAINER","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","14-MAY-25","13-MAY-25","20:23:00Z","PANAMA CITY","FLORIDA","UNITED STATES","AIRCRAFT LANDED,  VEERED OFF RUNWAY AND STRUCK A RUNWAY LIGHT, PANAMA CITY, FL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N652EP","","","TEXTRON","172","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-MAY-25","13-MAY-25","17:00:00Z","STATE COLLEGE","PENNSYLVANIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, STATE COLLEGE, PA.","INCIDENT","HARRISBURG FSDO","N2840R","","","BEECH","P35","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-MAY-25","14-MAY-25","00:46:00Z","CHICAGO","ILLINOIS","UNITED STATES","AIRCRAFT BEING PUSHED BACK FROM GATE AND STRUCK A FUEL TRUCK, CHICAGO, IL.","INCIDENT","GREATER CHICAGO FSDO","N148SY","SKW5563","SKYWEST AIRLINES","EMBRAER","ERJ 170-200 LR","No","MINOR","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","2","0","0","0","0","2","0","0","0","0","71","0","0","0","0","0","0","0","0","0"
"No","14-MAY-25","13-MAY-25","18:38:00Z","MOSES LAKE","WASHINGTON","UNITED STATES","AIRCRAFT ON LANDING AND VEERED OFF RUNWAY, MOSES LAKE, WA.","INCIDENT","SPOKANE FSDO","N22711","","","BEECH","B19","No","NONE","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-MAY-25","06-MAY-25","16:58:00Z","READING","PENNSYLVANIA","UNITED STATES","AIRCRAFT VEERED OFF THE RIGHT SIDE OF RUNWAY AND INTO THE GRASS","INCIDENT","ALLENTOWN FSDO","N289RS","","","PAZMANY","PL2","No","UNKNOWN","PERSONAL","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","07-MAY-25","06-MAY-25","13:15:00Z","SALISBURY","NORTH CAROLINA","UNITED STATES","AIRCRAFT EXPERIENCED AN ENGINE FAILURE WHILE IN THE TRAFFIC PATTERN AND LANDED IN THE
GRASS ADJACENT TO RUNWAY.","INCIDENT","CHARLOTTE FSDO","N3030U","","","CESSNA","172","No","UNKNOWN","PERSONAL","MANEUVERING (MNV)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","07-MAY-25","06-MAY-25","07:30:00Z","SAN FRANCISCO","CALIFORNIA","UNITED STATES","AIRCRAFT RIGHT WING STRUCK THE LEFT WING OF UNITED 877 DURING PUSHBACK.","INCIDENT","OAKLAND FSDO","N2727U","863","UNITED","BOEING","777","No","UNKNOWN","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","3","0","0","0","0","13","0","0","0","0","202","0","0","0","0","0","0","0","0","0"
"No","07-MAY-25","06-MAY-25","07:30:00Z","SAN FRANCISCO","CALIFORNIA","UNITED STATES","AIRCRAFT LEFT WING WAS STRUCK BY THE RIGHT WING OF UAL863 DURING PUSHBACK","INCIDENT","OAKLAND FSDO","N2645U","877","UNITED","BOEING","777","No","UNKNOWN","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","3","0","0","0","0","13","0","0","0","0","307","0","0","0","0","0","0","0","0","0"
"No","07-MAY-25","06-MAY-25","21:40:00Z","BOULDER CITY","NEVADA","UNITED STATES","AIRCRAFT SUSTAINED ENROUTE HAIL DAMAGE","INCIDENT","LAS VEGAS FSDO","N142SA","CVU42","GRAND CANYON SCENIC AIRLINES","DE HAVILLAND","DHC6","No","UNKNOWN","SIGHT SEEING","EN ROUTE (ENR)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0"
"No","07-MAY-25","06-MAY-25","15:30:00Z","PORT OF DEL BONITA","MONTANA","UNITED STATES","AIRCRAFT WENT OFF THE RUNWAY DURING LANDING AND STRUCK A FENCE","ACCIDENT","HELENA FSDO","N108RM","","","STINSON","108-3","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","05-MAY-25","21:43:00Z","POLK","OHIO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A WOODED AREA, POLK, OH.","ACCIDENT","CLEVELAND FSDO","N519EA","","","EXPRESS AIRCRAFT","EXPRESS 2000 FT","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","05-MAY-25","20:20:00Z","ASHEVILLE","NORTH CAROLINA","UNITED STATES","AIRCRAFT STRUCK A RUNWAY LIGHT, ASHEVILLE, NC.","INCIDENT","CHARLOTTE FSDO","N52HA","","","CESSNA","182T","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","05-MAY-25","16:32:00Z","LINCOLN","NEBRASKA","UNITED STATES","AIRCRAFT LANDED HARD AND VEERED INTO THE GRASS, LINCOLN, NE.","INCIDENT","LINCOLN FSDO","N367MA","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","03-MAY-25","00:00:00Z","STARBUCK","MINNESOTA","UNITED STATES","AIRCRAFT LANDED GEAR UP, STARBUCK, MN.","INCIDENT","MINNEAPOLIS FSDO","N812CH","","","MOONEY","M20B","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","19-MAR-25","21:00:00Z","UPLAND","CALIFORNIA","UNITED STATES","AIRCRAFT PORPOISED AND INCURRED A PROP STRIKE, UPLAND, CA.","INCIDENT","RIVERSIDE FSDO","N64866","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","05-MAY-25","20:12:00Z","PIERSON","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON A HIGHWAY, PIERSON, FL.","INCIDENT","ORLANDO FSDO","N82660","","","AERONCA","7AC","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","06-MAY-25","05-MAY-25","23:00:00Z","SOUTH ST PAUL","MINNESOTA","UNITED STATES","AIRCRAFT INCURRED A PROP STRIKE ON LANDING, SOUTH ST PAUL, MN.","INCIDENT","MINNEAPOLIS FSDO","N7951W","","","PIPER","PA28","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-MAY-25","07-MAY-25","22:30:00Z","FLATHEAD LAKE","MONTANA","UNITED STATES","AIRCRAFT SUFFERED A HARD LANDING DUE TO POWER LOSS","INCIDENT","HELENA FSDO","N77TU","","","STEMME GMBH & CO","S10-VT","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-MAY-25","07-MAY-25","15:29:00Z","BELLEFONTAINE","OHIO","UNITED STATES","AIRCRAFT RIGHT MAIN LANDING GEAR COLLAPSED ON LANDING RESULTING IN PROPELLER STRIKE","INCIDENT","COLUMBUS FSDO","N108LU","","","DIAMOND","DA42","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","08-MAY-25","08-MAY-25","00:53:00Z","OCALA","FLORIDA","UNITED STATES","AIRCRAFT CRASHED SOUTH OF THE AIRPORT FOR UNKNOWN REASONS","INCIDENT","ORLANDO FSDO","N174A","","","CESSNA","182A","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-MAY-25","07-MAY-25","20:00:00Z","SANFORD","NORTH CAROLINA","UNITED STATES","AIRCRAFT CRASHED 300 YARDS SOUTH OF RUNWAY 3/21 FOR UNKNOWN REASONS","INCIDENT","GREENSBORO FSDO","N499BW","","","DIAMOND","DA40","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","08-MAY-25","07-MAY-25","19:24:00Z","MANSFIELD","OHIO","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO A VIOLENT NOSE WHEEL SHIMMY. POST FLIGHT INSPECTION FOUND DAMAGE TO THE NOSE WHEEL STRUT.","INCIDENT","CLEVELAND FSDO","N5601E","","","CESSNA","182","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","UNKNOWN","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-MAY-25","07-MAY-25","17:20:00Z","DUBOIS","PENNSYLVANIA","UNITED STATES","AIRCRAFT LANDED WITH LANDING GEAR RETRACTED, CAUSING DAMAGE TO THE PROPELLER AND FUSELAGE","INCIDENT","ALLEGHENY FSDO","N9124M","","","MOONEY","M20R","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","09-MAY-25","08-MAY-25","19:14:00Z","WICHITA","KANSAS","UNITED STATES","AIRCRAFT STRUCK A FLOCK OF BIRDS ON DEPARTURE DAMAGING THE WEATHER RADAR, WICHITA, KS.","INCIDENT","WICHITA FSDO","N971AT","DAL1637","DELTA AIRLINES","BOEING","717","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-25","08-MAY-25","15:30:00Z","NICKERSON","KANSAS","UNITED STATES","AIRCRAFT DEPARTED, THE MAIN LANDING GEAR WHEELS TOUCHED A PASSING VEHICLE DAMAGING THE SUNROOF, NICKERSON, KS.","INCIDENT","WICHITA FSDO","N3653Y","","","AIR TRACTOR","AT301","No","NONE","AERIAL APPLICATION","TAKEOFF (TOF)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAY-25","08-MAY-25","23:28:00Z","HOMESTEAD","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A SWAMP, HOMESTEAD, FL.","INCIDENT","SOUTH FLORIDA FSDO","N5405T","","","CESSNA","172","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","09-MAY-25","08-MAY-25","00:42:00Z","TIFFIN","OHIO","UNITED STATES","AIRCRAFT STRUCK A DEER ON LANDING, TIFFIN, OH.","INCIDENT","CLEVELAND FSDO","N335BG","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","09-MAY-25","08-MAY-25","15:59:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT LANDED GEAR UP, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N5338V","","","CESSNA","172RG","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","08-MAY-25","30-APR-25","23:00:00Z","DUNCAN","OKLAHOMA","UNITED STATES","AIRCRAFT LANDED THEN VEERED OFF RUNWAY BEFORE FLIPPING OVER IN THE GRASS","ACCIDENT","WILL ROGERS FSDO","N2135Z","","","CESSNA","180","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-MAY-25","14-MAY-25","17:12:00Z","NEW YORK","NEW YORK","UNITED STATES","AIRCRAFT VERTICAL STABILIZER WAS STRUCK BY LIGHTENING, NEW YORK, NY.","INCIDENT","NEW YORK FSDO","N436YX","RPA4764","REPUBLIC AIRWAYS","EMBRAER","ERJ 170-200 LR","No","UNKNOWN","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
